latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.416,-47.206,304.6,1.2,1.1,10/19/2018,130,T,61,6.0NRT,291.4,6.1,N
-4.202,-47.495,311.7,1.3,1.1,10/19/2018,130,T,83,6.0NRT,290.2,12.7,N
-4.201,-47.491,304.7,1.3,1.1,10/19/2018,130,T,61,6.0NRT,290,6.9,N
-4.203,-47.502,305.9,1.3,1.1,10/19/2018,130,T,66,6.0NRT,290.2,7.9,N
-4.114,-47.741,304.7,1.3,1.1,10/19/2018,130,T,61,6.0NRT,288.4,7.3,N
-4.115,-47.752,310,1.3,1.1,10/19/2018,130,T,79,6.0NRT,288.5,12.5,N
-4.105,-47.754,306.4,1.3,1.1,10/19/2018,130,T,68,6.0NRT,288.2,9,N
-4.197,-48.571,317.8,1.5,1.2,10/19/2018,130,T,96,6.0NRT,276,29.5,N
-4.184,-48.56,310.8,1.5,1.2,10/19/2018,130,T,81,6.0NRT,275.1,18.9,N
-4.186,-48.573,334.7,1.5,1.2,10/19/2018,130,T,100,6.0NRT,276,64.1,N
-4.086,-48.278,308,1.4,1.2,10/19/2018,130,T,73,6.0NRT,288.3,12.4,N
-4.088,-48.291,312,1.4,1.2,10/19/2018,130,T,84,6.0NRT,287.8,17.3,N
-3.573,-50.22,311.2,1.9,1.4,10/19/2018,130,T,82,6.0NRT,289,23.8,N
-3.569,-50.226,313.1,1.9,1.4,10/19/2018,130,T,86,6.0NRT,289,28,N
-3.267,-49.142,302.1,1.6,1.2,10/19/2018,130,T,47,6.0NRT,288.9,6.6,N
-3.237,-50.17,315.8,1.9,1.3,10/19/2018,130,T,92,6.0NRT,289,32.1,N
-3.225,-50.172,307.5,1.9,1.3,10/19/2018,130,T,72,6.0NRT,288.5,17.2,N
-3.479,-53.936,305,3.8,1.8,10/19/2018,130,T,62,6.0NRT,280.1,46.7,N
-3.484,-53.97,308.7,3.8,1.8,10/19/2018,130,T,75,6.0NRT,282.7,62.2,N
-3.422,-53.876,306,3.7,1.8,10/19/2018,130,T,64,6.0NRT,281.7,49.9,N
-3.41,-53.85,300.2,3.7,1.8,10/19/2018,130,T,13,6.0NRT,281.3,28.9,N
-2.563,-48.111,315.5,1.3,1.1,10/19/2018,130,T,91,6.0NRT,291.2,18.2,N
-2.565,-48.122,313.1,1.3,1.1,10/19/2018,130,T,86,6.0NRT,291.1,15.6,N
-3.326,-53.963,301.8,3.8,1.8,10/19/2018,130,T,34,6.0NRT,282.4,29.1,N
-3.331,-53.935,301.9,3.8,1.8,10/19/2018,130,T,45,6.0NRT,282.3,33,N
-3.335,-53.967,302.8,3.8,1.8,10/19/2018,130,T,52,6.0NRT,282.3,36.7,N
-1.483,-49.002,303.3,1.4,1.2,10/19/2018,130,T,55,6.0NRT,290,5.8,N
-1.485,-49.015,305.2,1.4,1.2,10/19/2018,130,T,63,6.0NRT,290.8,7.7,N
-1.479,-49.009,306.3,1.4,1.2,10/19/2018,130,T,66,6.0NRT,290.1,8.6,N
-0.347,-49.484,306.5,1.5,1.2,10/19/2018,130,T,68,6.0NRT,290.3,11.1,N
-0.348,-49.498,306.6,1.5,1.2,10/19/2018,130,T,69,6.0NRT,290.2,11.5,N
-0.344,-49.49,313.3,1.5,1.2,10/19/2018,130,T,87,6.0NRT,290.6,20.3,N
-0.333,-49.492,313.5,1.5,1.2,10/19/2018,130,T,87,6.0NRT,290.5,20.8,N
-0.335,-49.505,306.6,1.5,1.2,10/19/2018,130,T,69,6.0NRT,289.9,12.2,N
-33.256,-60.287,308.1,1.1,1,10/19/2018,300,T,73,6.0NRT,289.8,10.8,N
-33.209,-60.329,310.1,1.1,1,10/19/2018,300,T,79,6.0NRT,289.1,11.9,N
-32.765,-64.98,309.4,1.1,1.1,10/19/2018,300,T,30,6.0NRT,286.2,12.8,N
-32.767,-64.992,344.8,1.1,1.1,10/19/2018,300,T,100,6.0NRT,289.9,62.8,N
