latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-5.627999999999999,-45.236999999999995,318.6,1.0,1.0,10/19/2018,425,A,97,6.0NRT,291.0,16.3,N,1,2018-10-19,308.338,48,1005.27,308.338,308.338
-5.605,-46.55,302.1,1.2,1.1,10/19/2018,425,A,46,6.0NRT,286.9,5.7,N,0,2018-10-19,305.163,62,988.17,305.163,305.163
-6.093,-45.881,302.9,1.1,1.0,10/19/2018,425,A,52,6.0NRT,292.1,4.3,N,0,2018-10-19,301.338,100,992.14,301.338,301.338
-6.5489999999999995,-43.229,304.8,1.0,1.0,10/19/2018,425,A,60,6.0NRT,288.1,5.6,N,0,2018-10-19,301.138,89,997.08,301.138,301.138
-15.758,-61.727,311.6,3.6,1.8,10/19/2018,610,A,83,6.0NRT,274.5,74.5,N,1,2018-10-19,304.15,62,1013.0,304.15,304.15
-15.765999999999998,-61.735,311.9,3.6,1.8,10/19/2018,610,A,84,6.0NRT,272.8,80.8,N,1,2018-10-19,304.15,62,1013.0,304.15,304.15
-15.769,-61.702,301.2,3.6,1.8,10/19/2018,610,A,39,6.0NRT,276.7,36.7,N,0,2018-10-19,304.15,62,1013.0,304.15,304.15
-16.175,-60.685,303.7,4.3,1.9,10/19/2018,610,A,56,6.0NRT,276.7,56.7,N,0,2018-10-19,306.15,59,1012.0,306.15,306.15
-16.176,-60.693000000000005,303.4,4.3,1.9,10/19/2018,610,A,29,6.0NRT,277.8,51.6,N,0,2018-10-19,306.15,59,1012.0,306.15,306.15
-16.320999999999998,-60.283,302.8,4.6,2.0,10/19/2018,610,A,52,6.0NRT,272.4,60.1,N,0,2018-10-19,302.588,85,987.84,302.588,302.588
-16.32,-60.287,303.0,4.6,2.0,10/19/2018,610,A,53,6.0NRT,272.4,59.9,N,0,2018-10-19,302.588,85,987.84,302.588,302.588
-16.36,-61.148999999999994,328.7,4.0,1.9,10/19/2018,610,A,100,6.0NRT,283.1,204.1,N,1,2018-10-19,306.15,59,1012.0,306.15,306.15
-16.363,-61.111999999999995,323.9,4.0,1.9,10/19/2018,610,A,100,6.0NRT,281.6,164.5,N,1,2018-10-19,306.15,59,1012.0,306.15,306.15
-16.363,-61.158,320.3,4.0,1.9,10/19/2018,610,A,100,6.0NRT,282.8,137.1,N,1,2018-10-19,306.15,59,1012.0,306.15,306.15
-16.367,-61.12,332.3,4.0,1.9,10/19/2018,610,A,100,6.0NRT,282.3,242.5,N,1,2018-10-19,306.15,59,1012.0,306.15,306.15
-16.659000000000002,-62.435,301.8,3.2,1.7,10/19/2018,610,A,13,6.0NRT,281.1,18.5,N,0,2018-10-19,306.188,64,986.14,306.188,306.188
-16.674,-62.43600000000001,306.6,3.2,1.7,10/19/2018,610,A,52,6.0NRT,286.4,33.6,N,0,2018-10-19,306.188,64,986.14,306.188,306.188
-16.667,-62.646,305.3,3.1,1.7,10/19/2018,610,A,64,6.0NRT,289.3,29.7,N,0,2018-10-19,306.188,64,986.14,306.188,306.188
-16.671,-62.441,309.0,3.2,1.7,10/19/2018,610,A,76,6.0NRT,286.5,43.3,N,1,2018-10-19,306.188,64,986.14,306.188,306.188
