latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
4.2860000000000005,-55.495,307.5,2.1,1.4,10/19/2018,1650,A,54,6.0NRT,285.1,10.5,D,0,2018-10-19,309.663,39,1005.19,309.663,309.663
4.3069999999999995,-55.44,308.9,2.1,1.4,10/19/2018,1650,A,48,6.0NRT,286.3,14.0,D,0,2018-10-19,309.663,39,1005.19,309.663,309.663
4.2860000000000005,-55.5,310.9,2.1,1.4,10/19/2018,1650,A,61,6.0NRT,286.3,17.2,D,0,2018-10-19,309.488,38,1000.89,309.488,309.488
4.711,-55.281000000000006,307.8,2.0,1.4,10/19/2018,1650,A,50,6.0NRT,283.2,12.0,D,0,2018-10-19,305.713,55,1010.78,305.713,305.713
4.708,-55.299,306.8,2.0,1.4,10/19/2018,1650,A,43,6.0NRT,282.3,10.7,D,0,2018-10-19,305.713,55,1010.78,305.713,305.713
4.712,-55.287,310.3,2.0,1.4,10/19/2018,1650,A,62,6.0NRT,282.8,17.6,D,0,2018-10-19,305.713,55,1010.78,305.713,305.713
4.822,-55.255,323.1,2.0,1.4,10/19/2018,1650,A,80,6.0NRT,289.9,47.1,D,1,2018-10-19,305.713,55,1010.78,305.713,305.713
4.82,-55.273,324.8,2.0,1.4,10/19/2018,1650,A,81,6.0NRT,290.4,52.2,D,1,2018-10-19,305.713,55,1010.78,305.713,305.713
5.004,-55.187,311.2,2.0,1.4,10/19/2018,1650,A,47,6.0NRT,282.4,21.4,D,0,2018-10-19,306.15,55,1008.0,306.15,306.15
5.394,-53.005,319.6,1.3,1.1,10/19/2018,1650,A,55,6.0NRT,297.8,11.8,D,0,2018-10-19,302.313,86,1020.35,302.313,302.313
5.449,-53.32,313.1,1.4,1.2,10/19/2018,1650,A,42,6.0NRT,291.4,9.1,D,0,2018-10-19,303.563,66,1016.46,303.563,303.563
5.474,-53.553000000000004,363.0,1.5,1.2,10/19/2018,1650,A,100,6.0NRT,295.0,158.2,D,1,2018-10-19,303.563,66,1016.46,303.563,303.563
5.472,-53.566,329.5,1.5,1.2,10/19/2018,1650,A,84,6.0NRT,290.6,42.2,D,1,2018-10-19,303.563,66,1016.46,303.563,303.563
5.506,-53.948,309.2,1.6,1.2,10/19/2018,1650,A,45,6.0NRT,290.9,9.0,D,0,2018-10-19,302.913,82,1015.57,302.913,302.913
5.58,-53.601000000000006,315.7,1.5,1.2,10/19/2018,1650,A,69,6.0NRT,294.0,14.1,D,1,2018-10-19,303.563,66,1016.46,303.563,303.563
5.579,-53.614,342.5,1.5,1.2,10/19/2018,1650,A,92,6.0NRT,295.3,73.9,D,1,2018-10-19,303.563,66,1016.46,303.563,303.563
5.652,-53.74100000000001,317.1,1.5,1.2,10/19/2018,1650,A,23,6.0NRT,297.6,12.9,D,0,2018-10-19,302.913,82,1015.57,302.913,302.913
5.374,-55.583,311.7,2.1,1.4,10/19/2018,1650,A,60,6.0NRT,292.7,17.6,D,0,2018-10-19,305.62,55,1008.0,305.15,306.15
5.371,-55.601000000000006,314.5,2.1,1.4,10/19/2018,1650,A,69,6.0NRT,294.2,24.1,D,1,2018-10-19,305.62,55,1008.0,305.15,306.15
5.374,-55.588,312.7,2.1,1.4,10/19/2018,1650,A,32,6.0NRT,293.0,17.4,D,0,2018-10-19,305.62,55,1008.0,305.15,306.15
5.297000000000001,-57.364,305.6,2.9,1.6,10/19/2018,1650,A,38,6.0NRT,281.0,16.8,D,0,2018-10-19,310.038,39,1014.92,310.038,310.038
5.297999999999999,-57.369,304.9,2.9,1.6,10/19/2018,1650,A,23,6.0NRT,280.9,15.6,D,0,2018-10-19,310.038,39,1014.92,310.038,310.038
5.819,-56.855,326.3,2.6,1.5,10/19/2018,1650,A,83,6.0NRT,287.7,72.8,D,1,2018-10-19,304.163,82,1019.87,304.163,304.163
5.825,-56.861999999999995,321.7,2.6,1.5,10/19/2018,1650,A,65,6.0NRT,288.4,54.3,D,0,2018-10-19,304.163,82,1019.87,304.163,304.163
-13.638,-43.282,340.1,1.1,1.1,10/19/2018,1645,A,85,6.0NRT,309.6,26.2,D,1,2018-10-19,301.063,64,966.28,301.063,301.063
-13.639000000000001,-43.293,339.1,1.1,1.1,10/19/2018,1645,A,73,6.0NRT,310.4,24.7,D,1,2018-10-19,301.063,64,966.28,301.063,301.063
-12.620999999999999,-39.958,346.1,1.9,1.3,10/19/2018,1645,A,92,6.0NRT,297.8,100.0,D,1,2018-10-19,302.563,52,990.84,302.563,302.563
-13.151,-43.232,334.6,1.1,1.1,10/19/2018,1645,A,32,6.0NRT,303.5,23.4,D,0,2018-10-19,300.813,78,964.66,300.813,300.813
-12.625,-39.946,328.7,1.9,1.3,10/19/2018,1645,A,56,6.0NRT,292.6,32.7,D,0,2018-10-19,302.563,52,990.84,302.563,302.563
-12.628,-39.964,331.6,1.9,1.3,10/19/2018,1645,A,73,6.0NRT,295.9,40.1,D,1,2018-10-19,302.563,52,990.84,302.563,302.563
-12.3,-41.001999999999995,330.1,1.6,1.2,10/19/2018,1645,A,74,6.0NRT,303.6,21.8,D,1,2018-10-19,295.15,88,1016.0,295.15,295.15
-12.200999999999999,-43.464,346.7,1.1,1.1,10/19/2018,1645,A,92,6.0NRT,292.9,52.1,D,1,2018-10-19,301.463,82,964.9,301.463,301.463
-12.065999999999999,-43.111000000000004,354.8,1.2,1.1,10/19/2018,1645,A,97,6.0NRT,312.6,70.5,D,1,2018-10-19,301.463,82,964.9,301.463,301.463
-12.177999999999999,-52.683,314.6,2.4,1.5,10/19/2018,1645,A,57,6.0NRT,285.7,26.5,D,0,2018-10-19,302.888,77,986.06,302.888,302.888
-9.536,-36.001,319.8,4.4,1.9,10/19/2018,1645,A,50,6.0NRT,292.0,78.8,D,0,2018-10-19,304.15,55,1011.0,304.15,304.15
-11.677999999999999,-49.865,326.4,1.4,1.2,10/19/2018,1645,A,80,6.0NRT,291.2,32.3,D,1,2018-10-19,301.888,86,993.76,301.888,301.888
-11.68,-49.878,318.0,1.4,1.2,10/19/2018,1645,A,59,6.0NRT,291.5,17.4,D,0,2018-10-19,301.888,86,993.76,301.888,301.888
-11.685,-49.871,323.7,1.4,1.2,10/19/2018,1645,A,70,6.0NRT,292.8,27.4,D,1,2018-10-19,301.888,86,993.76,301.888,301.888
-11.019,-45.86600000000001,327.8,1.0,1.0,10/19/2018,1645,A,32,6.0NRT,295.6,15.3,D,0,2018-10-19,299.463,80,943.99,299.463,299.463
-10.814,-45.089,322.7,1.0,1.0,10/19/2018,1645,A,60,6.0NRT,287.8,12.0,D,0,2018-10-19,300.138,93,960.2,300.138,300.138
-10.95,-47.263999999999996,322.9,1.0,1.0,10/19/2018,1645,A,38,6.0NRT,301.7,9.8,D,0,2018-10-19,301.063,96,973.25,301.063,301.063
-10.784,-47.265,327.1,1.0,1.0,10/19/2018,1645,A,67,6.0NRT,306.5,11.3,D,1,2018-10-19,301.063,96,973.25,301.063,301.063
