latitude,longitude
-17.901,-40.075
-17.903,-40.085
-17.255,-39.397
-17.257,-39.407
-17.235,-39.518
-17.226,-39.52
-16.702,-40.123000000000005
-16.704,-40.132
-16.692999999999998,-40.124
-16.569000000000003,-40.146
-16.642,-42.108999999999995
-15.102,-43.316
-15.093,-43.318000000000005
-13.954,-45.832
-13.645999999999999,-43.619
-13.648,-43.628
-13.942,-45.821999999999996
-13.943,-45.833999999999996
-13.637,-43.62
-13.638,-43.63
-13.932,-45.823
-13.933,-45.835
-13.935,-45.847
-13.923,-45.836999999999996
-12.808,-40.145
-12.613,-39.945
-13.015,-43.979
-12.231,-43.422
-10.006,-36.024
-9.78,-35.934
-9.802,-36.374
-10.839,-44.711000000000006
-10.685,-49.558
-6.556,-43.224
-6.557,-43.233000000000004
-6.093999999999999,-45.888999999999996
-6.087999999999999,-45.886
-5.499,-43.873000000000005
-5.6370000000000005,-45.244
-5.629,-45.242
-5.63,-45.251000000000005
-5.475,-44.614
-5.466,-44.61600000000001
-5.412999999999999,-44.373000000000005
-5.485,-45.007
-5.417999999999999,-44.989
-5.376,-44.95399999999999
-5.377999999999999,-44.963
-5.061,-43.769
-5.167000000000001,-44.84
-5.434,-47.034
-4.928,-43.81
-5.343,-46.823
-4.823,-44.358999999999995
-5.093999999999999,-46.941
-4.913,-45.716
-4.915,-45.725
-4.904,-45.717
-4.905,-45.726000000000006
-4.812,-45.257
-4.567,-47.183
-4.555,-47.174
-4.5569999999999995,-47.185
-4.416,-47.206
-4.202,-47.495
-4.2010000000000005,-47.49100000000001
-4.203,-47.501999999999995
-4.114,-47.74100000000001
-4.115,-47.751999999999995
-4.105,-47.754
-4.197,-48.571000000000005
-4.184,-48.56
-4.186,-48.573
-4.086,-48.278
-4.088,-48.291000000000004
-3.573,-50.22
-3.569,-50.226000000000006
-3.267,-49.141999999999996
-3.237,-50.17
-3.225,-50.172
-3.4789999999999996,-53.93600000000001
-3.484,-53.97
-3.4219999999999997,-53.876000000000005
-3.41,-53.85
-2.563,-48.111000000000004
-2.565,-48.122
-3.326,-53.963
-3.3310000000000004,-53.935
-3.335,-53.967
-1.483,-49.001999999999995
-1.485,-49.015
-1.479,-49.00899999999999
-0.34700000000000003,-49.483999999999995
-0.348,-49.498000000000005
-0.344,-49.49
-0.33299999999999996,-49.492
-0.335,-49.505
-33.256,-60.287
-33.209,-60.32899999999999
-32.765,-64.98
-32.766999999999996,-64.992
-32.768,-65.00399999999999
-32.77,-65.016
-32.757,-64.994
-32.76,-65.018
-32.762,-65.03
-32.763000000000005,-65.042
-32.765,-65.054
-32.751,-65.02
-32.751999999999995,-65.032
-32.754,-65.044
-32.755,-65.056
-32.744,-65.046
-32.746,-65.058
-32.747,-65.07
-32.724000000000004,-64.962
-32.727,-64.987
-32.729,-64.999
-32.716,-64.977
-32.718,-64.98899999999999
-32.719,-65.001
-32.713,-64.983
-32.715,-64.995
-32.716,-65.007
-29.983,-60.68600000000001
-29.289,-60.818999999999996
-29.261,-62.021
-29.261999999999997,-62.032
-18.464000000000002,-58.948
-18.451,-58.951
-18.418,-58.843999999999994
-18.422,-58.86600000000001
-18.408,-58.869
-18.41,-58.852
-18.414,-58.875
-18.398,-59.013999999999996
-18.402,-59.036
-19.067,-63.341
-19.069000000000003,-63.352
-19.065,-63.347
-18.834,-62.976000000000006
-18.847,-63.11600000000001
-18.848,-63.126999999999995
-18.846,-63.122
-18.848,-63.133
-18.147000000000002,-59.455
-18.145,-59.441
-18.283,-61.873999999999995
-18.285,-61.888000000000005
-18.272000000000002,-61.876000000000005
-18.278,-61.867
-18.28,-61.881
-17.792,-59.677
-17.79,-59.663999999999994
-18.147000000000002,-62.261
-18.149,-62.273999999999994
-18.062,-62.141999999999996
-18.064,-62.155
-18.067,-62.168
-17.852,-61.169
-17.334,-58.394
-17.32,-58.397
-17.826,-61.222
-17.829,-61.236999999999995
-18.185,-63.4
-17.317,-58.403
-17.585,-60.367
-17.663,-60.882
-17.666,-60.898
-17.677,-61.095
-17.679000000000002,-61.111000000000004
-17.68,-61.101000000000006
-17.682000000000002,-61.117
-17.674,-61.135
-17.937,-62.746
-17.962,-62.965
-17.525,-60.403999999999996
-17.528,-60.42100000000001
-17.516,-60.497
-17.494,-60.614
-17.547,-61.0
-17.55,-61.016000000000005
-17.464000000000002,-60.795
-17.531,-61.183
-17.534000000000002,-61.199
-17.449,-60.781000000000006
-17.452,-60.798
-17.455,-60.81399999999999
-17.422,-60.699
-17.425,-60.716
-17.455,-60.786
-17.458,-60.803000000000004
-17.429000000000002,-60.70399999999999
-17.442999999999998,-60.788999999999994
-17.417,-60.707
-17.639,-62.043
-17.642,-62.056000000000004
-17.393,-60.711000000000006
-17.379,-60.696000000000005
-17.382,-60.713
-17.355,-60.701
-17.358,-60.718
-17.505,-61.706
-17.508,-61.72
-17.502,-61.698
-17.505,-61.711999999999996
-17.177,-60.309
-17.617,-63.051
-17.191,-61.353
-17.209,-61.666000000000004
-17.212,-61.68
-17.214000000000002,-61.695
-17.2,-61.681999999999995
-17.203,-61.696999999999996
-17.160999999999998,-61.72
-17.164,-61.733999999999995
-16.935,-60.723
-17.39,-64.08800000000001
-16.663,-59.77
-17.0,-62.409
-16.989,-62.411
-17.063,-63.365
-16.339000000000002,-60.169
-16.326,-60.17100000000001
-16.331,-60.27
-16.335,-60.288999999999994
-16.339000000000002,-60.175
-16.326,-60.177
-16.343,-60.273999999999994
-16.33,-60.276
-16.334,-60.295
-16.320999999999998,-60.297
-16.324,-60.316
-16.309,-60.3
-16.671,-62.653
-16.372,-61.135
-16.375,-61.152
-16.36,-61.137
-16.363,-61.153999999999996
-16.329,-61.496
-16.331,-61.511
-16.329,-61.638000000000005
-16.332,-61.653999999999996
-16.472,-62.5
-16.156,-61.372
-16.219,-62.442
-16.221,-62.455
-16.209,-62.443999999999996
-16.211,-62.457
-16.435,-63.993
-16.179000000000002,-62.463
-16.168,-62.465
-16.17,-62.478
-16.162,-62.458
-16.165,-62.471000000000004
-15.959000000000001,-62.043
-15.960999999999999,-62.056999999999995
-15.947000000000001,-62.044
-16.088,-62.905
-16.09,-62.918
-16.156,-63.332
-16.039,-63.173
-16.041,-63.18600000000001
-15.767999999999999,-61.73
-15.770999999999999,-61.746
-15.767999999999999,-61.721000000000004
-15.77,-61.736000000000004
-15.773,-61.751999999999995
-15.759,-61.738
-15.72,-61.714
-15.722000000000001,-61.729
-15.629000000000001,-62.214
-15.618,-62.216
-15.69,-62.986000000000004
-15.868,-65.405
-15.853,-65.368
-14.827,-65.532
-14.619000000000002,-65.8
-14.607999999999999,-65.792
-14.61,-65.80199999999999
-14.600999999999999,-65.803
-14.602,-65.812
-14.731,-66.70100000000001
-14.732999999999999,-66.711
-14.475,-67.09899999999999
-14.477,-67.108
-14.467,-67.10600000000001
-14.224,-67.268
-14.214,-67.267
-13.315999999999999,-68.074
-12.950999999999999,-68.023
-12.952,-68.032
-12.943,-68.03
-12.935,-68.041
-12.936,-68.05
-12.934000000000001,-68.164
-12.915999999999999,-68.101
-12.917,-68.11
-12.921,-68.138
-12.877,-68.351
-12.867,-68.343
-12.868,-68.352
-12.857999999999999,-68.344
-12.859000000000002,-68.354
-12.849,-68.346
-12.85,-68.355
-12.812999999999999,-69.648
-6.48,-75.76899999999999
3.8760000000000003,-71.89699999999999
-12.849,-43.725
-12.55,-48.817
-12.552,-48.806000000000004
-13.636,-43.623999999999995
-13.638,-43.614
-13.642000000000001,-43.62
-13.925999999999998,-45.839
-13.927999999999999,-45.82899999999999
-13.935,-45.84
-13.937999999999999,-45.821999999999996
-13.939,-45.812
-13.947000000000001,-45.823
-15.809000000000001,-42.533
-2.5610000000000004,-48.113
-4.107,-47.747
-4.112,-47.74100000000001
-4.084,-48.285
-4.073,-48.816
-4.147,-48.771
-4.18,-48.562
-4.82,-44.351000000000006
-4.191,-48.56399999999999
-4.559,-47.177
-4.558,-47.172
-4.9030000000000005,-45.714
-5.367000000000001,-44.95399999999999
-5.096,-46.93600000000001
-5.417000000000001,-44.989
-5.627000000000001,-45.246
-5.627999999999999,-45.236999999999995
-5.605,-46.55
-6.093,-45.881
-6.5489999999999995,-43.229
-15.758,-61.727
-15.765999999999998,-61.735
-15.769,-61.702
-16.175,-60.685
-16.176,-60.693000000000005
-16.320999999999998,-60.283
-16.32,-60.287
-16.36,-61.148999999999994
-16.363,-61.111999999999995
-16.363,-61.158
-16.367,-61.12
-16.659000000000002,-62.435
-16.674,-62.43600000000001
-16.667,-62.646
-16.671,-62.441
-16.674,-62.411
-16.665,-62.65
-17.207,-61.662
-17.195999999999998,-61.668
-17.213,-61.67
-17.373,-60.715
-17.377,-60.674
-17.374000000000002,-60.718999999999994
-17.378,-60.677
-17.441,-60.766999999999996
-17.454,-60.81
-17.458,-60.769
-17.441,-60.776
-17.458,-60.777
-17.662,-60.88399999999999
-17.63,-62.083999999999996
-17.633,-62.051
-17.639,-62.09
-17.642,-62.056000000000004
-18.057000000000002,-62.157
-18.061,-62.123999999999995
-18.053,-62.13
-19.063,-63.341
-32.707,-64.977
-32.717,-64.985
-12.93,-68.036
-12.942,-68.016
-12.944,-68.005
-12.952,-68.017
-12.953,-68.007
-13.795,-66.89
-14.213,-67.26899999999999
-14.224,-67.27
-7.571000000000001,-35.263000000000005
-7.606,-35.049
-8.324,-36.43
-8.32,-36.436
5.657,-53.732
5.4510000000000005,-55.201
4.621,-55.027
3.1919999999999997,-51.292
2.032,-50.608999999999995
1.851,-50.504
1.195,-50.802
1.8459999999999999,-55.876999999999995
1.702,-55.979
0.174,-50.126999999999995
0.165,-50.128
0.16399999999999998,-50.119
-0.319,-49.533
-0.335,-49.486999999999995
-0.344,-49.543
-0.866,-48.058
-1.158,-46.213
-0.907,-48.676
-1.7009999999999998,-45.007
-1.704,-44.988
-1.1640000000000001,-48.803000000000004
-1.909,-45.722
-1.6380000000000001,-47.74
-1.9,-47.974
-2.39,-44.769
-2.176,-47.269
-2.178,-47.256
-1.94,-50.723
-1.9409999999999998,-50.714
-1.624,-54.083
-1.626,-54.071999999999996
-1.712,-53.633
