latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-5.499,-43.87300000000001,310.7,1.0,1.0,10/19/2018,130,T,81,6.0NRT,294.5,8.4,N,1,2018-10-19,305.57099999999997,56,1007.16,305.57099999999997,305.57099999999997
-5.6370000000000005,-45.244,305.4,1.0,1.0,10/19/2018,130,T,64,6.0NRT,292.9,4.8,N,0,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.629,-45.242,328.4,1.0,1.0,10/19/2018,130,T,100,6.0NRT,293.7,26.6,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.63,-45.25100000000001,307.3,1.0,1.0,10/19/2018,130,T,71,6.0NRT,292.2,6.5,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.475,-44.614,306.2,1.0,1.0,10/19/2018,130,T,67,6.0NRT,293.8,4.9,N,1,2018-10-19,305.121,61,1003.67,305.121,305.121
-5.466,-44.61600000000001,307.6,1.0,1.0,10/19/2018,130,T,72,6.0NRT,294.2,5.9,N,1,2018-10-19,305.121,61,1003.67,305.121,305.121
-5.4129999999999985,-44.37300000000001,305.2,1.0,1.0,10/19/2018,130,T,63,6.0NRT,293.7,4.6,N,0,2018-10-19,305.121,61,1003.67,305.121,305.121
-5.485,-45.007,305.5,1.0,1.0,10/19/2018,130,T,64,6.0NRT,293.4,5.0,N,0,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.417999999999998,-44.989,313.3,1.0,1.0,10/19/2018,130,T,87,6.0NRT,294.3,10.3,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.376,-44.95399999999999,309.1,1.0,1.0,10/19/2018,130,T,76,6.0NRT,293.6,7.1,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.377999999999999,-44.963,307.1,1.0,1.0,10/19/2018,130,T,70,6.0NRT,293.6,5.7,N,1,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.061,-43.769,322.2,1.0,1.0,10/19/2018,130,T,100,6.0NRT,293.3,18.8,N,1,2018-10-19,305.246,89,1010.97,305.246,305.246
-5.167000000000002,-44.84,304.0,1.0,1.0,10/19/2018,130,T,58,6.0NRT,293.5,3.6,N,0,2018-10-19,306.721,58,1008.38,306.721,306.721
-5.434,-47.034,302.8,1.2,1.1,10/19/2018,130,T,51,6.0NRT,283.1,6.6,N,0,2018-10-19,306.15,59,1010.0,306.15,306.15
-4.928,-43.81,305.7,1.0,1.0,10/19/2018,130,T,60,6.0NRT,294.2,4.9,N,0,2018-10-19,305.246,89,1010.97,305.246,305.246
-5.343,-46.823,306.8,1.2,1.1,10/19/2018,130,T,69,6.0NRT,288.1,8.2,N,1,2018-10-19,304.32099999999997,69,991.19,304.32099999999997,304.32099999999997
-4.823,-44.359,306.0,1.0,1.0,10/19/2018,130,T,62,6.0NRT,294.1,4.8,N,0,2018-10-19,307.69599999999997,47,1010.08,307.69599999999997,307.69599999999997
-5.0939999999999985,-46.941,305.6,1.2,1.1,10/19/2018,130,T,65,6.0NRT,290.9,7.4,N,0,2018-10-19,305.171,59,1000.67,305.171,305.171
-4.913,-45.716,324.6,1.1,1.0,10/19/2018,130,T,100,6.0NRT,294.1,22.4,N,1,2018-10-19,307.621,46,1006.51,307.621,307.621
-4.915,-45.725,304.4,1.1,1.0,10/19/2018,130,T,60,6.0NRT,292.9,4.4,N,0,2018-10-19,307.621,46,1006.51,307.621,307.621
-4.904,-45.717,337.8,1.1,1.0,10/19/2018,130,T,100,6.0NRT,294.1,41.1,N,1,2018-10-19,307.621,46,1006.51,307.621,307.621
-4.905,-45.726000000000006,315.5,1.1,1.0,10/19/2018,130,T,91,6.0NRT,293.0,12.6,N,1,2018-10-19,307.621,46,1006.51,307.621,307.621
-4.812,-45.257,306.4,1.0,1.0,10/19/2018,130,T,68,6.0NRT,293.7,5.4,N,1,2018-10-19,306.94599999999997,53,1011.46,306.94599999999997,306.94599999999997
